"S.","Title","Location","Date","Area","Incident.Area","Open.Close.Location","Target","Cause","Summary","Shooter.status","No..of.shooter.suspect","Fatalities","Injured","Total.victims","Policeman.Killed","Age","Employeed..Y.N.","Employed.at","Mental.Health.Issues","Race","Gender","Latitude","Longitude","Month","Year","Day","MJ.Summary","Prior.MH","MH.Details","Legal.Weapons","Obtained.Where","Weapon.Type","Weapon.Details","Main.Source","MH.Source","Extra.Source","Shooting.Type","State"
113,"Luigi's Restaurant in Fayetteville","Fayetteville, North Carolina","08/06/93","Restaurant","Luigi's Restaurant","Close","random","Anger","On August 6, 1993, a 22-year old army sergeant opened fire inside Luigi's Restaurant in Fayetteville, North Carolina, killing four people and injuring eight more. The shooter was ranting about gays in the military before he was shot and arrested by police.","arrested","one",4,8,12,0,"22",1,"Army","No","White, White American or European American","Male",35.07997086,-79.03796125,8,1993,6,"Army Sgt. Kenneth Junior French, 22, opened fire inside Luigi's Italian restaurant while ranting about gays in the military before he was shot and arrested by police.","No","He had an abusive father, who committed suicide.","Yes","Unknown","One rifle, two shotguns",".22-caliber rifle; two 12-gauge shotguns","http://articles.latimes.com/1993-08-08/news/mn-21847_1_kills-army-french; http://news.google.com/newspapers?id=0AhPAAAAIBAJ&sjid=jhUEAAAAIBAJ&pg=6505,2482529&dq=kenneth+junior+french&hl=en","http://news.google.com/newspapers?id=0AhPAAAAIBAJ&sjid=jhUEAAAAIBAJ&pg=6505,2482529&dq=kenneth+junior+french&hl=en","http://articles.latimes.com/1993-08-08/news/mn-21847_1_kills-army-french; http://news.google.com/newspapers?id=0AhPAAAAIBAJ&sjid=jhUEAAAAIBAJ&pg=6505,2482529&dq=kenneth+junior+french&hl=en","Mass","North Carolina"
114,"Chuck E. Cheese in Aurora","Aurora, Colorado","12/14/93","Former Workplace","Chuck E. Cheese","Close","Ex-Coworkers","Unemployement","On December 14, 1993, a 19-year-old fired Chuck E. Cheese's employee in Aurora, Colorado visited his former workplace and waited until closing to confront his ex-coworkers. He then opened fire, killing three teenaged employees, one 50-year-old employee, and wounding another before being arrested.","arrested","one",4,1,5,0,"19",0,"-999","Yes","Black, Black American or African American","Male",39.69892933,-104.7871863,12,1993,14,"Nathan Dunlap, 19, a recently fired Chuck E. Cheese's employee, went on a rampage through his former workplace and was arrested the following day. He now awaits execution on death row.","Unclear","While he was in prison awaiting trial, he started acting bizarre by stripping naked and playing with his feces, apparently to avoid the death penalty. A state doctor testified that Dunlap was was faking his mental illness. ","Unknown","Unknown","One semiautomatic handgun",".25-caliber semiautomatic handgun","http://www.denverpost.com/news/ci_20218952/aurora-chuck-e-cheese-killers-appeal-cites-mental; http://abcnews.go.com/US/auroras-massacre-victims-20-year-wait-justice/story?id=16847013; http://www.5280.com/magazine/2008/12/politics-killing?page=0,6 ","http://www.5280.com/magazine/2008/12/politics-killing?page=0,6","http://www.denverpost.com/news/ci_20218952/aurora-chuck-e-cheese-killers-appeal-cites-mental; http://abcnews.go.com/US/auroras-massacre-victims-20-year-wait-justice/story?id=16847013; http://www.5280.com/magazine/2008/12/politics-killing?page=0,6 ","Mass","Colorado"
115,"Residence in Union, Kentucky","Union, Kentucky","05/26/94","Home + School","Home+School","Close","random","Psycho","On May 26, 1994, a 17-year-old high school student awoke in the early hours of the day to kill his parents and his sisters in their home. He then kidnapped his prom date at gunpoint and brought her to a classroom, where he held her, a teacher and 22 students hostage before being detained by police.","arrested","one",4,0,4,0,"17",-999,"-999","No","White, White American or European American","Male",38.95130818,-84.67066339,5,1994,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kentucky"
116,"Fairchild Air Force Base Hospital","Fairchild AFB, Washington","06/20/94","Hospital/Health Clinic","hospital","Close","psychologist+psychiatrist","Anger","On June 20, 1994, a 20-year-old discharged technician at the Fairchild Air Force Base Hospital outside of Spokane, Washington entered the office of the psychologist and psychiatrist that first diagnosed him to be unfit for service, shot and killed them both. He continued shooting at patients and visitors at the hospital, killing a young boy, the wife of a retired serviceman and wounding twenty-three more before being killed by a military police officer.","killed","one",4,23,27,0,"20",0,"-999","Yes","White, White American or European American","Male",47.618456,-117.644099,6,1994,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Washington"
117,"Montclair Post Office","Montclair, New Jersey","03/21/95","Former Workplace","Post Office in Montclair","Close","random","Unemployement","On March 21, 1995, a 29-year-old former postal laborer entered a post office in Montclair, New Jersey, and robbed the employees at gunpoint. He then killed two postal workers, two customers and wounded another man before fleeing the scene. He was later arrested in his apartment.","arrested","one",4,1,5,0,"29",0,"-999","No","White, White American or European American","Male",40.826184,-74.20862,3,1995,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New Jersey"
118,"R.E. Phelon Company","Aiken, South Carolina","09/15/97","Former Workplace","R.R. Phelon Company","Open+Close","Ex-Coworkers","Unemployement","On September 15, 1997, Ex-con Hastings Arthur Wise a 43-year-old former employee of the R.E. Phelon Company in Aiken, South Carolina arrived at the plant and shot the security guard in the parking lot. He then entered the facility and began shooting his former coworkers, killing four and wounding two others. He attempted suicide with insecticide, but was unsuccessful and eventually arrested.","arrested","one",4,3,7,1,"43",0,"-999","No","Black, Black American or African American","Male",33.47524551,-81.72595949,9,1997,15,"Ex-con Hastings Arthur Wise, 43, opened fire at the R.E. Phelon Company in retaliation for being fired after an argument with a supervisor. He attempted suicide by ingesting insecticide, failed, and was executed by the state of South Carolina eight years later.","No","An ex-con, he had been freed from prison, although he displayed violent tendencies.","No","Unknown","One semiautomatic handgun","9mm semiautomatic handgun","http://www.vpc.org/studies/wgun970915.htm; http://chronicle.augusta.com/stories/1997/09/18/met_214833.shtml","http://chronicle.augusta.com/stories/1997/09/18/met_214833.shtml","http://www.vpc.org/studies/wgun970915.htm; http://chronicle.augusta.com/stories/1997/09/18/met_214833.shtml","Mass","South Carolina"
119,"Connecticut State Lottery Headquarters","Newington, Connecticut","03/06/98","Current Workplace","Workplace","Close","Coworkers","Anger","On March 6, 1998, a 35-year-old disgruntled employee of the State Lottery in Newington, Connecticut arrived at his workplace and began shooting. He killed four of his coworkers and supervisors before committing suicide./ Lottery worker Matthew Beck, 35, gunned down four bosses over a salary dispute before committing suicide.","committed suicide","one",4,0,4,0,"35",1,"State Lottery","Yes","White, White American or European American","Male",41.68700845,-72.73083927,3,1998,6,"Lottery worker Matthew Beck, 35, gunned down four bosses over a salary dispute before committing suicide.","Yes","He had been hospitalized for psychiatric reasons and had a history of depression","Yes","Unknown","One semiautomatic handgun","9mm semiautomatic handgun","http://www.nytimes.com/1998/03/07/nyregion/rampage-connecticut-overview-connecticut-lottery-worker-kills-4-bosses-then.html?pagewanted=all&src=pm; http://www.nytimes.com/2000/04/11/us/hole-in-gun-control-law-lets-mentally-ill-through.html?pagewanted=all&src=pm","http://www.nytimes.com/2000/04/11/us/hole-in-gun-control-law-lets-mentally-ill-through.html?pagewanted=all&src=pm","http://www.nytimes.com/1998/03/07/nyregion/rampage-connecticut-overview-connecticut-lottery-worker-kills-4-bosses-then.html?pagewanted=all&src=pm; http://www.nytimes.com/2000/04/11/us/hole-in-gun-control-law-lets-mentally-ill-through.html?pagewanted=all&src=pm","Mass","Connecticut"
120,"Thurston High School","Springfield, Oregon","05/21/98","Home + School","Home+School","Close","Students+Parents","Psycho","On May 21, 1998, a 15-year-old student at Thurston High School in Springfield, Oregon arrived on campus the day after killing both his parents with firearms in their home. He began shooting at the students, killing two and wounding twenty-five others before being arrested.","arrested","one",4,25,29,0,"15",-999,"-999","Yes","White, White American or European American","Male",44.05489698,-123.0075562,5,1998,21,"After he was expelled for having a gun in his locker, Kipland P. Kinkel, 15, a freshman at Thurston High, went on a shooting spree, killing his parents at home and two students at school. Five classmates wrestled Kipland to the ground before he was arrested.   ","Yes","Doctors testified that he was a paranoid schizophrenic who suffered from hallucinations","No","Purchased variously from friend and father, and stolen from father","Two semiautomatic handguns, one rifle","9mm Glock, .22-caliber Ruger semiautomatic handguns, .22-caliber Ruger rifle","http://www.katu.com/news/local/8082147.html; http://www.pbs.org/wgbh/pages/frontline/shows/kinkel/kip/cron.html; http://www.oregonlive.com/special/index.ssf/2008/05/the_suspect_kipland_kinkels_da.html; http://articles.cnn.com/2000-01-21/us/kinkel.revisited_1_kip-kinkel-thurston-high-school-oregon-school-shooting?_s=PM:US","http://articles.cnn.com/2000-01-21/us/kinkel.revisited_1_kip-kinkel-thurston-high-school-oregon-school-shooting?_s=PM:US","http://www.katu.com/news/local/8082147.html; http://www.pbs.org/wgbh/pages/frontline/shows/kinkel/kip/cron.html; http://www.oregonlive.com/special/index.ssf/2008/05/the_suspect_kipland_kinkels_da.html; http://articles.cnn.com/2000-01-21/us/kinkel.revisited_1_kip-kinkel-thurston-high-school-oregon-school-shooting?_s=PM:US","Mass","Oregon"
121,"Damageplan show at the Alrosa Villa Nightclub","Columbus, Ohio","12/08/04","Public area","Other than workplace","Open+Close","random","Anger","On December 8, 2004, a 25-year-old former mechanic for the US Marine Corps shot and killed the lead guitarist in the band Damageplan before shooting into the crowd at a concert at the Alrosa Villa Nightclub in Columbus, Ohio. Apparently upset by the breakup of the band Pantera, the shooter killed an additional three and wounded seven before being killed by police backstage.","killed","one",4,7,11,0,"25",-999,"-999","Yes","White, White American or European American","Male",39.98861445,-82.98904135,12,2004,8,"Nathan Gale, 25, possibly upset about the breakup of Pantera, gunned down former Pantera guitarist Dimebag Darrell and three others at a Damageplan show before a police officer fatally shot Gale.","Yes","He was discharged from the military because he was a paranoid schizophrenic.","Yes","Received as a gift from mother","One semiautomatic handgun","9mm Beretta 92FS semiautomatic handgun","http://www.cbsnews.com/2100-201_162-659983.html; http://www.knac.com/article.asp?ArticleID=3417; http://www.blabbermouth.net/news.aspx?mode=Article&newsitemID=86362","http://www.cbsnews.com/2100-201_162-659983.html","http://www.cbsnews.com/2100-201_162-659983.html; http://www.knac.com/article.asp?ArticleID=3417; http://www.blabbermouth.net/news.aspx?mode=Article&newsitemID=86362","Mass","Ohio"
122,"Youth With A Mission and New Life Church","Arvada, Colorado","12/09/07","Church + Training Center","Training Center+Church","Close","random","Anger","On December 9, 2007, a 24-year-old failed missionary entered the Youth With A Mission training center in Arvada, Colorado and began shooting, killing two and wounding two others. He then went to the New Life Church, shooting and killing two more and wounding three others. A former police officer in the congregation opened fire on the shooter, wounding him before he decided to take his own life. ","committed suicide","one",4,5,9,0,"24",-999,"-999","No","White, White American or European American","Male",39.81087474,-105.173715,12,2007,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colorado"
123,"Parkland Coffee Shop","Lakewood, Washington","11/29/09","Restaurant","Coffee Shop","Close","Policeman","Anger","On November 29, 2009, a 37-year old convicted felon who was out on bail, entered a coffee shop in Lakewood, Washington. The gunman shot and killed four off-duty police officers who had gone there to use their laptops before their shifts. After a two-day manhunt, the gunman was shot and killed by a police officer in south Seattle. /Maurice Clemmons, 37, a felon who was out on bail for child-rape charges, entered a coffee shop on a Sunday morning and shot four police officers who had gone there to use their laptops before their shifts. Clemmons, who was wounded fleeing the scene, was later shot dead by a police officer in Seattle after a two-day manhunt.","killed","one",4,0,4,4,"37",-999,"-999","Yes","Black, Black American or African American","Male",47.16267579,-122.5296574,11,2009,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Washington"
124,"Pinewood Village Apartments","Federal Way, Washington","04/21/13","Home + Public Area","Apartment","Close","Girlfriend","Anger","On April 21, 2013, a 27-year old man shot and killed his girlfriend at their apartment in Federal Way, Washington. He then shot two neighbors in the building's parking lot and a third victim in another apartment who had come out to see what was happening. It seems the shooter wanted to kill any witness after shooting his girlfriend. He was later killed by police. /Dennis Clark III, 27, shot and killed his girlfriend in their shared apartment, and then shot two witnesses in the building's parking lot and a third victim in another apartment, before being killed by police.","killed","one",4,0,4,0,"27",-999,"-999","No","Black, Black American or African American","Male",47.30909721,-122.3357553,4,2013,21,"Dennis Clark III, 27, shot and killed his girlfriend in their shared apartment, and then shot two witnesses in the building's parking lot and a third victim in another apartment, before being killed by police.","No","-","Yes","Unknown","Semiautomatic handgun, shotgun",".40 caliber semi-automatic handgun, pistol grip shotgun","http://seattletimes.com/html/localnews/2020836119_federalwayshootingxml.html  ","-","http://seattletimes.com/html/localnews/2020836119_federalwayshootingxml.html  ","Mass","Washington"
125,"Homes in Desoto and Dallas","Dallas, Texas","08/07/13","Home","Home","Close","random","Psycho","On August 7, 2013, a 44-year old former special education teacher allegedly went on a murder spree in the Dallas area, killing four people, including his ex-wife and estranged girlfriend, and wounding four others. Once police arrived at the second home, the shooter after running out of ammunition, reportedly pretended he was one of the victims and appeared catatonic.","-999","one",4,4,8,0,"44",0,"-999","-999","Black, Black American or African American","Male",32.79480596,-96.76631094,8,2013,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Texas"
126,"Oklahoma City Residence","Oklahoma City, Oklahoma","08/14/13","Home","-999","-999","Family","Psycho","On August 14, 2013, a 40-year old man obsessed with actress Selena Gomez, fatally shot his mother, sister, niece and infant nephew. He was later arrested and told police he had to getaway from his family because they were preventing him from being with his one true love.","arrested","one",4,0,4,0,"40",-999,"-999","Yes","White, White American or European American","Male",35.46779189,-97.5191631,8,2013,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oklahoma"
127,"Cedarville Rancheria Tribe","Alturas, California","02/20/14","Workplace","Other than workplace","-999","Family+random","Psycho","On February 20, 2014, a 44-year old woman went to a tribe eviction meeting where she killed three family members and a worker. After running out of ammunition, the shooter grabbed a butcher knife and stabbed another person. /Cherie Lash Rhoades, 44, opened fire at the Cedarville Rancheria Tribal Office and Community Center, killing four and wounding two. After running out of ammunition, Rhoades grabbed a butcher knife and stabbed another person.","-999","one",4,2,6,0,"44",-999,"-999","No","Native American or Alaska Native","Female",41.4911123,-120.549091,2,2014,20,"Cherie Lash Rhoades, 44, opened fire at the Cedarville Rancheria Tribal Office and Community Center, killing four and wounding two. After running out of ammunition, Rhoades grabbed a butcher knife and stabbed another person.","Unknown","-","Unknown","-","Two handguns and a butcher knife","9mm semi-automatic handgun","http://www.sacbee.com/news/local/crime/article2603350.html; http://www.csmonitor.com/USA/2014/0223/Alturas-tribal-shooting-Was-embezzlement-eviction-behind-family-revenge-video; http://www.cbsnews.com/news/4-dead-2-injured-at-american-indian-tribal-office-in-northern-california/; http://nativenewsonline.net/currents/former-tribal-chairperson-custody-mass-murder-cedarville-rancheria-tribal-headquarters/","-","http://www.sacbee.com/news/local/crime/article2603350.html; http://www.csmonitor.com/USA/2014/0223/Alturas-tribal-shooting-Was-embezzlement-eviction-behind-family-revenge-video; http://www.cbsnews.com/news/4-dead-2-injured-at-american-indian-tribal-office-in-northern-california/; http://nativenewsonline.net/currents/former-tribal-chairperson-custody-mass-murder-cedarville-rancheria-tribal-headquarters/","Spree","California"
128,"Marysville-Pilchuck High School","Marysville, Washington","10/24/14","School","School Cafeteria","Close","Friends","Anger","On October 24, 2014, a freshman Jaylen Fryberg, 15  at Marysville-Pilchuck High School approached a table of his friends in the school cafeteria and a verbal fight ensued. The student then pulled out a handgun and fired at the students at the table. He injured five students, killed 1 girl, and then committed suicide by shooting himself in the head. Three of the four injured students died in the hospital in the following days. Fryberg was reportedly well-liked at the school and there was not believed to be any ill-will between him and his victims. ","committed suicide","one",4,1,5,0,"15",-999,"-999","No","Native American or Alaska Native","Male",48.04802409,-122.1359622,10,2014,24,"Jaylen Fryberg, 15, using a .40-caliber Berretta, shot five 
students at Marysville High School, including two of his cousins and three friends, killing all but one. Fryberg arranged to meet them for lunch in the school cafeteria by text. Fryberg was reportedly well-liked at the school and there was not believed to be any ill-will between him and his victims. He committed suicide at the scene.","Unclear","Fryberg was well-liked and allegedly happy, but was also upset about a girl and had posted emotional social media messages. No definitive signs of mental health problems.","No","Gun was his father's.","Handgun","Beretta .40-caliber handgun","http://www.seattletimes.com/seattle-news/fourth-marysville-shooting-victim-dies-as-another-is-laid-to-rest/ http://www.mercurynews.com/crime-courts/ci_26814211/jaylen-fryberg-included-tributes-washington-school-shooting-victims","http://www.newyorker.com/science/maria-konnikova/almost-link-mental-health-gun-violence","http://www.seattletimes.com/seattle-news/fourth-marysville-shooting-victim-dies-as-another-is-laid-to-rest/ http://www.mercurynews.com/crime-courts/ci_26814211/jaylen-fryberg-included-tributes-washington-school-shooting-victims","Mass","Washington"
129,"Morgantown","Morgantown, West Virginia","12/01/14","Home","Multiple Homes","Close","Ex-Girlfriend+random","Psycho","On December 1, 2014, a man entered the home of his ex-girlfriend and shot and killed her and her new boyfriend. He then proceeded to the home of a business rival, whom he killed, and the home of another man with whom his ex-girlfriend had been involved, whom he also killed. The shooter then drove to another county and shot himself.","committed suicide","one",4,0,4,0,"-999",-999,"-999","No","White, White American or European American","Male",39.63400851,-79.94839325,12,2014,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"West Virginia"
130,"Douglasville","Douglasville, Georgia","02/07/15","Home","Home","Close","Family","Psycho","On February 7, 2015, a man entered the house of his ex-wife and shot her, two of their children, her boyfriend, and wounded two of her children. He then went onto the street and shot himself.","committed suicide","one",4,2,6,0,"-999",-999,"-999","No","Black, Black American or African American","Male",33.71059292,-84.71564276,2,2015,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georgia"
131,"Phoenix","Phoenix, Arizona","04/16/15","Home","-999","-999","Family","Anger","On April 16, 2015, a man who had been in a business dispute with his two brothers shot and killed them with his mother and one of their wives before taking his own life.","committed suicide","one",4,0,4,0,"-999",-999,"-999","-999","Other","Male",33.57145875,-112.0904854,4,2015,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona"
132,"Tucson","Tucson, Arizona","05/12/15","Home","-999","-999","Family","Psycho","On May 12, 2015, the man gunned down four of his family members, including his 17-year-old niece, before fatally shooting himself in a murder-suicide.","committed suicide","one",4,0,4,0,"-999",-999,"-999","Yes","-999","Male",32.15358905,-110.9677647,5,2015,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona"
133,"Deer Lodge","Deer Lodge, Montana","06/07/15","Home","-999","Close","Family","Domestic","The man shot and killed his wife and three children, set a fire in the family's remote cabin and then killed himself.","committed suicide","one",4,0,4,0,"-999",-999,"-999","-999","White, White American or European American","Male",46.39761858,-112.7329333,6,2015,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Montana"
134,"Clearbrook (Greenwood), Minnesota","Clearbrook (Greenwood), Minnesota","09/10/15","Home","Home","Close","random","Unknown","Five family members - two adults and three children - were found dead in a home on Thursday, September 10 in an apparent murder-suicide. The shooter, a nurse, founded the website AllNurses.com, which provides information and resources for and about the nursing profession.","-999","one",4,0,4,0,"-999",1,"-999","Yes","White, White American or European American","Male",47.69618799,-95.42844094,9,2015,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Minnesota"
135,"Arizona Family Murder","Glendale, Arizona","02/23/16","Home","Home","Close","Family","Psycho","Son shot his parents and two sisters in their Phoenix home. Police arrive because the house was on fire. Police shot and killed the shooter.","killed","one",4,0,4,0,"-999",-999,"-999","-999","White, White American or European American","Male",33.448377,-112.074037,2,2016,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona"
136,"Glendale, Arizona","Glendale, Arizona","02/23/16","Home","-999","-999","-999","Unknown","Five family members are dead after the son opened fire at their house on Tuesday morning. The shooter killed his father, his mother, his 18-year-old sister, and his 6-year-old sister. Police fatally shot the  shooter after a confrontation inside the home.","killed","one",4,0,4,0,"-999",-999,"-999","Yes","Other","Male",33.5927,-112.163,2,2016,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona"
137,"Belfair, WA Family murder-suicide","Belfair, Washington","02/25/16","Home","Home","Close","Family","Domestic","Man killed wife, two kids, and neighbor before calling the cops to tell them he did something bad. They fired tear gas to get him outside. He came out and shot himself in the head.","killed","one",4,0,4,0,"-999",-999,"-999","-999","White, White American or European American","Male",47.451459,-122.826946,2,2016,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Washington"
138,"Belfair, Washington","Belfair, Washington","02/26/16","Home","Home","Close","Family","Domestic","At around 9am on Friday morning, a man phoned an officer with the Mason County Sheriff's Office to say that he had shot his family and was going to kill himself next. The man was flushed out of his house when the SWAT team fired tear gas inside. He walked outside and shot himself in front of the officers who were gathered in front of the property. The shooter killed his wife, her two teenage sons and a neighbor.","killed","one",4,0,4,0,"-999",-999,"-999","-999","White, White American or European American","Male",47.5033,-122.931,2,2016,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Washington"
139,"Texas family murder-suicide","Katy, Texas","04/19/16","Home","Home","Close","Family","Domestic","Man killed his wife and two young children before committing suicide. No explanation has been offered","committed suicide","one",4,0,4,0,"-999",-999,"-999","-999","White, White American or European American","Male",29.785785,-95.824396,4,2016,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Texas"
140,"Pennsylvania carwash shooting","Melcroft, Pennsylvania","01/28/18","Public area","Other","-999","-999","Unknown","Timothy O'Brien Smith, 28, wearing body armor and well-stocked with ammo, opened fire at a carwash early in the morning in this rural community, killing four people. A fifth victim, though not shot, suffered minor injuries. One of the deceased victims, 25-year-old Chelsie Cline, had been romantically involved with Smith and had broken off the relationship recently, according to her sister. Smith shot himself in the head and died later that night at the hospital.","killed","one",4,1,5,-999,"28",-999,"-999","-999","White, White American or European American","Male",40.052151,-79.389166,1,2018,28,"Timothy O'Brien Smith, 28, wearing body armor and well-stocked with ammo, opened fire at a carwash early in the morning in this rural community, killing four people. A fifth victim, though not shot, suffered minor injuries. One of the deceased victims, 25-year-old Chelsie Cline, had been romantically involved with Smith and had broken off the relationship recently, according to her sister. Smith shot himself in the head and died later that night at the hospital.","TBD","-","TBD","TBD","semiautomatic rifle and semiautomatic handgun","-","http://www.wpxi.com/news/top-stories/family-members-small-community-in-shock-after-4-killed-in-shooting/690497960; http://www.wpxi.com/news/top-stories/suspect-in-mass-shooting-at-car-wash-pronounced-dead/691578228","-","http://www.wpxi.com/news/top-stories/family-members-small-community-in-shock-after-4-killed-in-shooting/690497960; http://www.wpxi.com/news/top-stories/suspect-in-mass-shooting-at-car-wash-pronounced-dead/691578228","Mass","Pennsylvania"
141,"Waffle House shooting","Nashville, Tennessee","04/22/18","Public area","Other","-999","-999","Unknown","Travis Reinking, 29, opened fire around 3:30 a.m. in the parking lot of a Waffle House in Antioch, and continued shooting as he entered the restaurant. As he attempted to reload his AR-15, a bystander heroically wrestled the rifle away from Reinking, who then fled; he was captured by authorities the following day. Reinking had a history of erratic behavior and run-ins with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as â€œa sovereign citizen.â€ ","arrested","one",4,4,8,-999,"29",-999,"-999","Yes","White, White American or European American","Male",36.052521,-86.616944,4,2018,22,"Travis Reinking, 29, opened fire around 3:30 a.m. in the parking lot of a Waffle House in Antioch, and continued shooting as he entered the restaurant. As he attempted to reload his AR-15, a bystander heroically wrestled the rifle away from Reinking, who then fled; he was captured by authorities the following day. Reinking had a history of erratic behavior and run-ins with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as “a sovereign citizen.” ","Yes","Reinking had a history of erratic behavior and run-ins with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as “a sovereign citizen.”","Yes","Family member","semiautomatic rifle","AR-15","https://www.washingtonpost.com/news/post-nation/wp/2018/04/23/waffle-house-shooting-travis-reinking-manhunt-continues-nashville-police-say/?utm_term=.69579db5fdc6; https://www.tennessean.com/story/news/2018/04/23/waffle-house-shooting-travis-reinking-search-continues-antioch-nashville/541313002/; https://www.nytimes.com/2018/04/23/us/waffle-house-shooting-nashville.html; https://www.buzzfeed.com/briannasacks/this-is-what-we-know-about-the-suspected-waffle-house-gunman?utm_term=.ilj2Knad6#.lklzyb3vj; http://www.wkrn.com/news/manhunt-continues-for-gunman-who-killed-4-at-antioch-waffle-house/1134986998","https://www.buzzfeed.com/briannasacks/this-is-what-we-know-about-the-suspected-waffle-house-gunman?utm_term=.ilj2Knad6#.lklzyb3vj","https://www.washingtonpost.com/news/post-nation/wp/2018/04/23/waffle-house-shooting-travis-reinking-manhunt-continues-nashville-police-say/?utm_term=.69579db5fdc6; https://www.tennessean.com/story/news/2018/04/23/waffle-house-shooting-travis-reinking-search-continues-antioch-nashville/541313002/; https://www.nytimes.com/2018/04/23/us/waffle-house-shooting-nashville.html; https://www.buzzfeed.com/briannasacks/this-is-what-we-know-about-the-suspected-waffle-house-gunman?utm_term=.ilj2Knad6#.lklzyb3vj; http://www.wkrn.com/news/manhunt-continues-for-gunman-who-killed-4-at-antioch-waffle-house/1134986998","Mass","Tennessee"
142,"Jersey City kosher market shooting","Jersey City, New Jersey","12/10/19","Public area","Other","-999","-999","Unknown","David N. Anderson, 47, and Francine Graham, 50, were heavily armed and traveling in a white van when they first killed a police officer in a cemetery, and then opened fire at a kosher market, â€œfueled both by anti-Semitism and anti-law enforcement beliefs,â€ according to New Jersey authorities. The pair, linked to the antisemitic ideology of the Black Hebrew Israelites extremist group, were killed after a lenghty gun battle with police at the market.","killed","two",4,3,7,-999,"47",-999,"-999","-999","Black, Black American or African American","Male",40.707363,-74.083609,12,2019,10,"David N. Anderson, 47, and Francine Graham, 50, were heavily armed and traveling in a white van when they first killed a police officer in a cemetery, and then opened fire at a kosher market, “fueled both by anti-Semitism and anti-law enforcement beliefs,” according to New Jersey authorities. The pair, linked to the antisemitic ideology of the Black Hebrew Israelites extremist group, were killed after a lenghty gun battle with police at the market.","-","-","-","-","-","-","https://www.nytimes.com/2019/12/15/nyregion/jersey-city-shooting-terrorism.html; https://twitter.com/fbimostwanted/status/1205621200505802752?s=21; https://www.nytimes.com/2019/12/12/nyregion/jersey-city-shooting-domestic-terrorism.html?smid=nytcore-ios-share; https://www.nytimes.com/2019/12/11/nyregion/jersey-city-shooting.html","-","-","Spree","New Jersey"
143,"Olean High School","Olean, New York","12/30/74","School","-999","Open+Close","random","Terrorism","On December 30, 1974, a 17-year-old honor student and member of the school's rifle team, entered Olean High School, looked himself in a room on the school's third floor, where he shot a custodian inside the building and nine people on the streets below. Following the shooting, police had found homemade propane bombs in Barbaro's bedroom, as well as bomb recipes and a journal that detailed his plans of the shooting.","-999","one",3,7,10,0,"17",-999,"-999","No","White, White American or European American","Male",42.08185369,-78.43213922,12,1974,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New York"
144,"Orange Glenn Post Office","Escondido, California","08/10/89","Home + Current Workplace","-999","Close","random","Psycho","On August 10, 1989, a 52-year-old ""model"" postal worker murdered his wife in their home before arriving to work at the Orange Glen Post Office in Escondido, California. He then shot and killed two co-workers and injured another before taking the gun to his own head, dying later in a hospital.","committed suicide","one",3,1,4,0,"52",1,"Orange Glenn Post Office","No","White, White American or European American","Male",33.13439925,-117.0722528,8,1989,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California"
