S#,Title,Location,Date,Area,Incident Area,Open/Close Location,Target,Cause,Summary,Shooter status,No. of shooter/suspect,Fatalities,Injured,Total victims,Policeman Killed,Age,Employeed (Y/N),Employed at,Mental Health Issues,Race,Gender,Latitude,Longitude
122,Youth With A Mission and New Life Church,"Arvada, Colorado",12/09/07,Church + Training Center,Training Center+Church,Close,random,anger,"On December 9, 2007, a 24-year-old failed missionary entered the Youth With A Mission training center in Arvada, Colorado and began shooting, killing two and wounding two others. He then went to the New Life Church, shooting and killing two more and wounding three others. A former police officer in the congregation opened fire on the shooter, wounding him before he decided to take his own life. ",committed suicide,one,4,5,9,0,24,-999,-999,No,"White, White American or European American",Male,39.81087474,-105.173715
123,Parkland Coffee Shop,"Lakewood, Washington",11/29/09,Restaurant,Coffee Shop,Close,Policeman,revenge,"On November 29, 2009, a 37-year old convicted felon who was out on bail, entered a coffee shop in Lakewood, Washington. The gunman shot and killed four off-duty police officers who had gone there to use their laptops before their shifts. After a two-day manhunt, the gunman was shot and killed by a police officer in south Seattle. /Maurice Clemmons, 37, a felon who was out on bail for child-rape charges, entered a coffee shop on a Sunday morning and shot four police officers who had gone there to use their laptops before their shifts. Clemmons, who was wounded fleeing the scene, was later shot dead by a police officer in Seattle after a two-day manhunt.",killed,one,4,0,4,4,37,-999,-999,Yes,"Black, Black American or African American",Male,47.16267579,-122.5296574
124,Pinewood Village Apartments,"Federal Way, Washington",04/21/13,Home + Public Area,Apartment,Close,Girlfriend,anger,"On April 21, 2013, a 27-year old man shot and killed his girlfriend at their apartment in Federal Way, Washington. He then shot two neighbors in the building's parking lot and a third victim in another apartment who had come out to see what was happening. It seems the shooter wanted to kill any witness after shooting his girlfriend. He was later killed by police. /Dennis Clark III, 27, shot and killed his girlfriend in their shared apartment, and then shot two witnesses in the building's parking lot and a third victim in another apartment, before being killed by police.",killed,one,4,0,4,0,27,-999,-999,No,"Black, Black American or African American",Male,47.30909721,-122.3357553
125,Homes in Desoto and Dallas,"Dallas, Texas",08/07/13,Home,Home,Close,random,psycho,"On August 7, 2013, a 44-year old former special education teacher allegedly went on a murder spree in the Dallas area, killing four people, including his ex-wife and estranged girlfriend, and wounding four others. Once police arrived at the second home, the shooter after running out of ammunition, reportedly pretended he was one of the victims and appeared catatonic.",-999,one,4,4,8,0,44,0,-999,-999,"Black, Black American or African American",Male,32.79480596,-96.76631094
126,Oklahoma City Residence,"Oklahoma City, Oklahoma",08/14/13,Home,-999,-999,Family,psycho,"On August 14, 2013, a 40-year old man obsessed with actress Selena Gomez, fatally shot his mother, sister, niece and infant nephew. He was later arrested and told police he had to getaway from his family because they were preventing him from being with his one true love.",arrested,one,4,0,4,0,40,-999,-999,Yes,"White, White American or European American",Male,35.46779189,-97.5191631
127,Cedarville Rancheria Tribe,"Alturas, California",02/20/14,Workplace,Other than workplace,-999,Family+random,psycho,"On February 20, 2014, a 44-year old woman went to a tribe eviction meeting where she killed three family members and a worker. After running out of ammunition, the shooter grabbed a butcher knife and stabbed another person. /Cherie Lash Rhoades, 44, opened fire at the Cedarville Rancheria Tribal Office and Community Center, killing four and wounding two. After running out of ammunition, Rhoades grabbed a butcher knife and stabbed another person.",-999,one,4,2,6,0,44,-999,-999,No,Native American or Alaska Native,Female,41.4911123,-120.549091
128,Marysville-Pilchuck High School,"Marysville, Washington",10/24/14,School,School Cafeteria,Close,Friends,anger,"On October 24, 2014, a freshman Jaylen Fryberg, 15  at Marysville-Pilchuck High School approached a table of his friends in the school cafeteria and a verbal fight ensued. The student then pulled out a handgun and fired at the students at the table. He injured five students, killed 1 girl, and then committed suicide by shooting himself in the head. Three of the four injured students died in the hospital in the following days. Fryberg was reportedly well-liked at the school and there was not believed to be any ill-will between him and his victims. ",committed suicide,one,4,1,5,0,15,-999,-999,No,Native American or Alaska Native,Male,48.04802409,-122.1359622
129,Morgantown,"Morgantown, West Virginia",12/01/14,Home,Multiple Homes,Close,Ex-Girlfriend+random,psycho,"On December 1, 2014, a man entered the home of his ex-girlfriend and shot and killed her and her new boyfriend. He then proceeded to the home of a business rival, whom he killed, and the home of another man with whom his ex-girlfriend had been involved, whom he also killed. The shooter then drove to another county and shot himself.",committed suicide,one,4,0,4,0,-999,-999,-999,No,"White, White American or European American",Male,39.63400851,-79.94839325
130,Douglasville,"Douglasville, Georgia",02/07/15,Home,Home,Close,Family,psycho,"On February 7, 2015, a man entered the house of his ex-wife and shot her, two of their children, her boyfriend, and wounded two of her children. He then went onto the street and shot himself.",committed suicide,one,4,2,6,0,-999,-999,-999,No,"Black, Black American or African American",Male,33.71059292,-84.71564276
131,Phoenix,"Phoenix, Arizona",04/16/15,Home,-999,-999,Family,business dispute,"On April 16, 2015, a man who had been in a business dispute with his two brothers shot and killed them with his mother and one of their wives before taking his own life.",committed suicide,one,4,0,4,0,-999,-999,-999,-999,Other,Male,33.57145875,-112.0904854
132,Tucson,"Tucson, Arizona",05/12/15,Home,-999,-999,Family,psycho,"On May 12, 2015, the man gunned down four of his family members, including his 17-year-old niece, before fatally shooting himself in a murder-suicide.",committed suicide,one,4,0,4,0,-999,-999,-999,Yes,-999,Male,32.15358905,-110.9677647
133,Deer Lodge,"Deer Lodge, Montana",06/07/15,Home,-999,Close,Family,domestic dispute,"The man shot and killed his wife and three children, set a fire in the family's remote cabin and then killed himself.",committed suicide,one,4,0,4,0,-999,-999,-999,-999,"White, White American or European American",Male,46.39761858,-112.7329333
134,"Clearbrook (Greenwood), Minnesota","Clearbrook (Greenwood), Minnesota",09/10/15,Home,Home,Close,random,-999,"Five family members - two adults and three children - were found dead in a home on Thursday, September 10 in an apparent murder-suicide. The shooter, a nurse, founded the website AllNurses.com, which provides information and resources for and about the nursing profession.",-999,one,4,0,4,0,-999,1,-999,Yes,"White, White American or European American",Male,47.69618799,-95.42844094
135,Arizona Family Murder,"Glendale, Arizona",02/23/16,Home,Home,Close,Family,psycho,Son shot his parents and two sisters in their Phoenix home. Police arrive because the house was on fire. Police shot and killed the shooter.,killed,one,4,0,4,0,-999,-999,-999,-999,"White, White American or European American",Male,33.448377,-112.074037
136,"Glendale, Arizona","Glendale, Arizona",02/23/16,Home,-999,-999,-999,-999,"Five family members are dead after the son opened fire at their house on Tuesday morning. The shooter killed his father, his mother, his 18-year-old sister, and his 6-year-old sister. Police fatally shot the  shooter after a confrontation inside the home.",killed,one,4,0,4,0,-999,-999,-999,Yes,Other,Male,33.5927,-112.163
137,"Belfair, WA Family murder-suicide","Belfair, Washington",02/25/16,Home,Home,Close,Family,domestic dispute,"Man killed wife, two kids, and neighbor before calling the cops to tell them he did something bad. They fired tear gas to get him outside. He came out and shot himself in the head.",killed,one,4,0,4,0,-999,-999,-999,-999,"White, White American or European American",Male,47.451459,-122.826946
138,"Belfair, Washington","Belfair, Washington",02/26/16,Home,Home,Close,Family,domestic dispute,"At around 9am on Friday morning, a man phoned an officer with the Mason County Sheriff's Office to say that he had shot his family and was going to kill himself next. The man was flushed out of his house when the SWAT team fired tear gas inside. He walked outside and shot himself in front of the officers who were gathered in front of the property. The shooter killed his wife, her two teenage sons and a neighbor.",killed,one,4,0,4,0,-999,-999,-999,-999,"White, White American or European American",Male,47.5033,-122.931
139,Texas family murder-suicide,"Katy, Texas",04/19/16,Home,Home,Close,Family,domestic dispute,Man killed his wife and two young children before committing suicide. No explanation has been offered,committed suicide,one,4,0,4,0,-999,-999,-999,-999,"White, White American or European American",Male,29.785785,-95.824396
140,Pennsylvania carwash shooting,"Melcroft, Pennsylvania",01/28/18,Public area,Other,-999,-999,-999,"Timothy O'Brien Smith, 28, wearing body armor and well-stocked with ammo, opened fire at a carwash early in the morning in this rural community, killing four people. A fifth victim, though not shot, suffered minor injuries. One of the deceased victims, 25-year-old Chelsie Cline, had been romantically involved with Smith and had broken off the relationship recently, according to her sister. Smith shot himself in the head and died later that night at the hospital.",killed,one,4,1,5,-999,28,-999,-999,-999,"White, White American or European American",Male,40.052151,-79.389166
141,Waffle House shooting,"Nashville, Tennessee",04/22/18,Public area,Other,-999,-999,-999,"Travis Reinking, 29, opened fire around 3:30 a.m. in the parking lot of a Waffle House in Antioch, and continued shooting as he entered the restaurant. As he attempted to reload his AR-15, a bystander heroically wrestled the rifle away from Reinking, who then fled; he was captured by authorities the following day. Reinking had a history of erratic behavior and run-ins with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as â€œa sovereign citizen.â€ ",arrested,one,4,4,8,-999,29,-999,-999,Yes,"White, White American or European American",Male,36.052521,-86.616944
142,Jersey City kosher market shooting,"Jersey City, New Jersey",12/10/19,Public area,Other,-999,-999,-999,"David N. Anderson, 47, and Francine Graham, 50, were heavily armed and traveling in a white van when they first killed a police officer in a cemetery, and then opened fire at a kosher market, â€œfueled both by anti-Semitism and anti-law enforcement beliefs,â€ according to New Jersey authorities. The pair, linked to the antisemitic ideology of the Black Hebrew Israelites extremist group, were killed after a lenghty gun battle with police at the market.",killed,two,4,3,7,-999,47,-999,-999,-999,"Black, Black American or African American",Male,40.707363,-74.083609
143,Olean High School,"Olean, New York",12/30/74,School,-999,Open+Close,random,terrorism,"On December 30, 1974, a 17-year-old honor student and member of the school's rifle team, entered Olean High School, looked himself in a room on the school's third floor, where he shot a custodian inside the building and nine people on the streets below. Following the shooting, police had found homemade propane bombs in Barbaro's bedroom, as well as bomb recipes and a journal that detailed his plans of the shooting.",-999,one,3,7,10,0,17,-999,-999,No,"White, White American or European American",Male,42.08185369,-78.43213922
144,Orange Glenn Post Office,"Escondido, California",08/10/89,Home + Current Workplace,-999,Close,random,psycho,"On August 10, 1989, a 52-year-old ""model"" postal worker murdered his wife in their home before arriving to work at the Orange Glen Post Office in Escondido, California. He then shot and killed two co-workers and injured another before taking the gun to his own head, dying later in a hospital.",committed suicide,one,3,1,4,0,52,1,Orange Glenn Post Office,No,"White, White American or European American",Male,33.13439925,-117.0722528
145,Ridgewood Post Office,"Ridgewood, New Jersey",10/10/91,Former Workplace,-999,Close,Ex-Coworkers,revenge,"On October 10, 1991, a 35-year old former postal clerk, apparently seeking revenge for his dismissal, killed his former supervisor with sword and shot her boyfriend at their home. Then entered the post office where he used to work in Ridgewood, New Jersey, and killed two of his former co-workers. After a four-hour standoff with police, the shooter was arrested. Before leaving his apartment, the shooter rigged a homemade bomb of explosives to his front door.",arrested,one,3,0,3,0,35,-999,-999,Yes,"Black, Black American or African American",Male,40.98213277,-74.11264731
146,Frontier Junior High School,"Moses Lake, Washington",02/02/96,School,Frontier Junior High School,Close,Students+Teachers,frustration,"On February 2, 1996, a 14-year-old student walked into his algebra class at Frontier Junior High School in Moses Lake, Washington shooting and killing his teacher before killing two students, one who had bullied him, and wounding another student in the arm. He then held the class hostage and was tackled and held by a teacher until he was apprehended by police.",arrested,one,3,1,4,0,14,-999,-999,Yes,"White, White American or European American",Male,47.12189424,-119.2750699
147,San Diego State University,"San Diego, California",08/15/96,School,San Diego State University,Close,Teachers,-999,"On August 15, 1996, a 36-year-old mechanical engineering graduate student at San Diego State University in San Diego, California was set to defend his Master's thesis for the second time. Instead, he pulled a gun he had stashed in a first aid kit in the room and shot twenty-three rounds into the three professors witnessing his defense, killing all three. He was found and arrested in the room, where he had planned to commit suicide but could not do it.",fail to commit suicide and arrested,one,3,0,3,0,36,-999,-999,No,"White, White American or European American",Male,32.86357277,-117.1281628
148,Heath High School,"West Paducah, Kentucky",12/01/97,School,Health High School,-999,prayer group,psycho,"On December 1, 1997, a 14-year-old student at Heath High School in West Paducah, Kentucky brought stolen guns to campus and began shooting at a prayer group that met every day, killing three students and wounding five others before being arrested. The shooter was later found to have been suffering from paranoid schizophrenia.",arrested,one,3,5,8,0,14,-999,-999,Yes,"White, White American or European American",Male,37.08506,-88.74422
149,Appalachian School of Law,"Grundy, Virginia",01/16/02,School,Appalachian School of Law,Close,Students+Teachers,anger,"On January 16, 2002, a 43-year-old former student of the Appalachian School of Law in Grundy, Virginia arrived on campus and began shooting. He killed the dean, a professor, a student and wounded three others before being arrested.",arrested,one,3,3,6,0,43,-999,-999,No,"Black, Black American or African American",Male,37.27537712,-82.09877234
150,University of Arizona College of Nursing,"Tucson, Arizona",10/28/02,School,University of Arizona,Close,Teachers,failing exams,"On October 28, 2002, a 41-year-old nursing student failing out of his classes University of Arizona College of Nursing in Tucson, Arizona arrived on campus and shot three of his professors, killing them all, before committing suicide.",committed suicide,one,3,0,3,0,41,-999,-999,No,Other,Male,32.15358905,-110.9677647
151,University of Alabama in Huntsville,"Huntsville, Alabama",02/12/10,School,University of Alabama,Close,Coworkers,psycho,"On February 12, 2010, a 44-year old professor went to a faculty meeting at the University of Alabama in Huntsville. She sat quietly at the meeting for 30 or 40 minutes before pulling out a gun, killing three of her coworkers and injuring three others. She was later arrested outside the building.",arrested,one,3,3,6,0,44,1,University of Alabama,No,"White, White American or European American",Female,34.72827538,-86.6723055
152,Chardon High School,"Chardon, Ohio",02/27/12,School,Chardon High Scool,Close,Students,terrorism,"On February 27, 2012, a 17-year old student entered Chardon High School in Chardon, Ohio, shooting  students in the cafeteria and in the hallway, leaving three students dead and three injured. He then was chased out of the school by a teacher and was arrested outside the school.",arrested,one,3,3,6,0,17,-999,-999,Yes,"White, White American or European American",Male,41.58025541,-81.20812625
153,"North Tulsa, Oklahoma","Tulsa, Oklahoma",04/06/12,Public area,-999,-999,black men,racism,"On April 6, 2012, a 19-year old and a 32-year old man went on a deadly shooting spree in Tulsa, Oklahoma, shooting black men at random in an apparently racially motivated attack. Three men died and two were wounded. The victims were chosen at random.",-999,one,3,2,5,0,19,-999,-999,No,"White, White American or European American",Male,36.13543238,-95.91316117
154,University Heights Apartments in Auburn,"Auburn, Alabama",06/09/12,School,Apartment Complex,Close,Students,terrorism,"On June 9, 2012, a 22-year old man went to a party in an off-campus apartment complex in Auburn, Alabama. Three people, including two former Auburn University football players, were killed and three others were wounded. The shooter fled the scene and turned himself in a few days later.",arrested,one,3,3,6,0,22,-999,-999,-999,"Black, Black American or African American",Male,32.60598014,-85.48989253
155,Azana Spa in Brookfield,"Brookfield, Wisconsin",10/21/12,"Salon, Spa",Azana Spa in Brookfield,Close,Ex-Wife,psycho,"On October 21, 2012, a 45-year old man went to Azana Spa in Brookfield, Wisconsin, where his estranged wife worked. He shot and killed his ex-wife and two of her co-workers and injured four others before committing suicide.",committed suicide,one,3,4,7,0,45,-999,-999,No,"Black, Black American or African American",Male,43.06396691,-88.12299758
156,Los Angeles Police Department,"Irvine, California",02/03/13,Former Workplace,-999,Open+Close,Coworker's Family,anger,"On February 3, 2013, a 33-year old former LAPD police officer shot and killed the daughter of a former LAPD captain and her fiance in a parking garage in Irvine, California. The shooter fled the scene and a large manhunt followed until February 12, 2013, during a stand-off  with police at a cabin in the San Bernardino Mountains. The shooter killed one police officer and injured another one before he committed suicide. It is not clear if he took his life before or after the police started to burn down the cabin where he was holed up. ",committed suicide,one,3,1,4,1,33,-999,-999,Yes,"Black, Black American or African American",Male,33.67803464,-117.773628
157,"Ladera Ranch, Santa Ana, Tustin and Orange","Ladera Ranch, California",02/19/13,Public area,-999,Open+Close,random,psycho,"On February 19, 2013, a 20-year old unemployed, part-time student killed a 20-year old woman at his parent's house. The shooter's parents called 911 when they heard the noise. He drove off in his parents car and went on a killing spree carjacking several cars and shooting at commuters, drivers, and construction workers. He committed suicide when police were approaching. The shooter had left a suicide note that he wrote within an hour of the 911 call his parents made.",committed suicide,one,3,3,6,0,20,0,-999,Yes,"White, White American or European American",Male,33.54961059,-117.6415707
158,Ross Township Supervisor Council Meeting,"Salisbury , Pennsylvania",08/05/13,Workplace,Ross Township,Close,random,psycho,"On August 5, 2013, an unemployed 59-year old man went to Ross Township's monthly meeting in Salisbury, Pennsylvania, killing three people and injuring four more. The shooter was later restrained and shot in the leg by civilians at the scene. He had been forced to vacate his property of 20 years and had been living out of his car and in abandoned buildings ever since.",arrested,one,3,3,6,0,59,0,-999,No,"White, White American or European American",Male,39.75344279,-79.08435956
159,Centennial Hill Bar & Grill,"Montgomery, Alabama",12/28/13,Restaurant,-999,Close,rapper+random,anger,"Early morning on December 28, 2013, a rapper had a confrontation with an acquaintance before going onstage. Soon after, the acquaintance left and re-entered the building and fired at the rapper. He and another shooter injured 5 and killed 3, including the rapper.",got away,one,3,5,8,0,-999,-999,-999,No,"Black, Black American or African American",Male,32.34729571,-86.26730242
160,Fort Hood shooting 2,"Fort Hood, Texas",04/03/14,Army area,Fort Hood Army Post,Open,Policeman,psycho,"Army Specialist Ivan Lopez, 34, opened fire at the Fort Hood Army Post in Texas, killing three and wounding at least 12 others before shooting himself in the head after engaging with military police. Lt. Gen. Mark A. Milley told reporters that Lopez ""had behavioral health and mental health"" issues. /On April 2, 2014, a 34-year-old Army Specialist began shooting at Fort Hood where he was stationed. He killed 3 military personnel and wounded 16 others before committing suicide. ",committed suicide,one,3,12,15,3,34,1,Fort Hood,Yes,Latino,Male,31.141716,-97.777559
161,Nellis Plaza,"Las Vegas, Nevada",06/08/14,Restaurant,Café+Walmart,Close,Policeman,psycho,"On the afternoon of June 8, 2014, a man and his wife approached two police officers having lunch in Las Vegas and began shooting, killing them both. The couple then fled to Walmart, where they killed an armed civilian attempting to stop the shooters. The man was killed by police and the woman killed herself at the Walmart.",committed suicide,two,3,0,3,2,-999,-999,-999,No,"White, White American or European American",Male and Female,36.18931923,-115.3264875
162,Moscow,"Moscow, Idaho",01/10/15,Home + Restaurant,Home+Restaurant,Close,random,psycho,"On Friday, January 10, 2015, a man shot his adoptive mother in her house, walked to his landlord's nearby office and shot and killed him and injured another person in the office. He then drove to an Arby's that his parents frequented, asked to see the manager, and shot and killed her. ",-999,one,3,1,4,0,-999,-999,-999,No,Asian or Asian American,Male,46.73059479,-116.9990042
163,Omaha,"Omaha, Nebraska",01/24/15,Public area,Party Outside Home,Open,random,terrorism,"On the morning of January 24, 2015, two shooters opened fire at a party outside a home in Omaha. Three were killed and five others were injured. One of the suspected shooters was arrested, but the other has not been identified. Possibly gang-related.",arrested,two,3,5,8,0,-999,-999,-999,No,"Black, Black American or African American",Male,41.265922,-96.05381421
164,Queens,"New York City, New York",01/24/15,Home,Home,Close,Family,psycho,"Early in the morning of January 24, 2015, a man shot his two daughters, wife, and mother-in-law, killing all but one of his daughters. The shooter  then went to his car and shot himself.",committed suicide,one,3,1,4,0,-999,-999,-999,No,"Black, Black American or African American",Male,40.68996411,-73.8720502
165,"King, North Carolina","King, North Carolina",02/04/15,Home,-999,-999,random,psycho,"A Couple and their sons were found shot to death in their mobile home on Wednesday, February 4. 2015. All four family members were found shot in the head. The shooter shot his wife and two boys before killing himself.",committed suicide,one,3,0,3,0,-999,-999,-999,-999,"White, White American or European American",Male,36.27617912,-80.35501402
166,Moon Lake,"New Port Richey, Florida",02/09/15,Home,Home,Close,random,terrorism,"Early morning on Feb. 9, 2015 two shooters with significant criminal records entered a house Moon Lake and shot the four residents of the house. Three of the victims were killed and the fourth was injured and escaped the house after the shooters left. The shooters escaped and were arrested a week later.",arrested,two,3,1,4,0,-999,-999,-999,No,"White, White American or European American",Male and Female,28.24653304,-82.71690259
167,Chapel Hill,"Chapel Hill, North Carolina",02/10/15,Home,Home,Close,neighbors,anger,"On the evening of Feb. 10, 2015, a man entered the apartment of three Muslim students with whom he had an ongoing dispute about parking space. The man was a fellow resident of the apartment complex. He shot all three people in the head, killing them. ",-999,one,3,0,3,0,-999,-999,-999,No,"White, White American or European American",Male,35.92681467,-79.03850407
168,Killeen,"Killeen, Texas",02/22/15,Home + Public Area,-999,-999,random,-999,"On Sunday night of February 22, Fort Hood soldier opened fire on three people, killing two and injuring one before forcing his wife into another home, where he killed her and then himself. ",committed suicide,one,3,1,4,0,-999,1,Fort Hood,No,"Black, Black American or African American",Male,31.07925506,-97.73392317
169,Charlotte,"Charlotte, North Carolina",02/24/15,Home,Home,Close,Contestant,-999,"On February 24, 2015, ""America's Next Top Model"" contestant was killed in a triple homicide at her boyfriend's home.",-999,one,3,0,3,0,-999,-999,-999,No,Other,Male,35.226354,-80.836788
170,Tarboro,"Tarboro, North Carolina",02/28/15,Shop/store,Barber Shop,Open+Close,random,terrorism,"On Saturday afternoon of February 28, 2015, one of the fatal shootings happened at the Master's Touch barber shop around 1 p.m. Another shooting  happened at a nearby mobile home park. A woman and man were shot in that encounter. Police later shot and killed the suspected gunman after they tracked down the suspect. ",killed,one,3,0,3,0,-999,-999,-999,Yes,"Black, Black American or African American",Male,35.90434471,-77.55639964
171,Fox Cities Trestle Trail bridge over Little Lake Butte des Morts,"Menasha, Wisconsin",05/03/15,Public area,bridge,Open,random,argue,"On May 3, 2015, an argument with his ex-fiance likely motivated a university student to randomly shoot four people  on a bridge at a park Sunday night, three fatally. Then  the gunman also shot and killed himself.",committed suicide,one,3,1,4,0,-999,-999,-999,Yes,-999,Male,44.20455909,-88.4484585
172,Trestle Trail bridge shooting,"Menasha, Wisconsin",06/11/15,Public area,-999,-999,random,-999,"Sergio Valencia del Toro, 27, in what officials say was a random act, shot and killed three people including an 11-year-old girl before turning the gun on himself.",committed suicide,one,3,1,4,0,27,-999,-999,Yes,Latino,Male,44.204124,-88.467541
173,Suwanee,"Suwanee, Georgia",07/22/15,Home,Home,Close,Family,psycho,A gunman killed his wife and her two young children inside a suburban Georgia home early Wednesday before fatally shooting himself.,committed suicide,one,3,1,4,0,-999,-999,-999,-999,"White, White American or European American",Male,34.05057545,-84.06872262
174,Parking lot near Boys and Girls Club,"Rochester, New York",08/19/15,Public area,Genesee Street,Open,random,-999,"Around 11:20 p.m. Wednesday on Genesee Street, a gunman shot into a crowd that gathered outside the Rochester Boys and Girls Club after a basketball game, killing three people and wounding four others. 
Drive-by, Gang involvement",-999,one,3,4,7,0,-999,-999,-999,-999,"Black, Black American or African American",Male,43.1696837,-77.614337
175,"Bristol, Tennessee","Bristol, Tennessee",08/29/15,Home,-999,-999,Family,psycho,"The shooter shot and killed his mother, stepfather, and grandmother in a matter of seconds on Saturday night.",-999,one,3,1,4,0,-999,-999,-999,-999,"White, White American or European American",Male,36.55605824,-82.21429551
176,Colorado Springs,"Colorado Springs, Colorado",10/31/15,Public area,sidewalk,Open,random,terrorism,"In the morning of October 31, 2015, three victims were shot and killed on the streets and sidewalks of the neighborhood.The gunman (Noah Harpham) died in a shootout with police. A witness described he was walking in the street with two guns, walking calmly. The shooter killed a bicyclist and two women at a nearby location.",killed,one,3,0,3,0,33,-999,-999,-999,"White, White American or European American",Male,38.86730659,-104.7572279
177,"Oakland, Maine","Oakland, Maine",11/04/15,Home,Home,Close,Family,domestic dispute,"A gunman shot his girlfriend,  his girlfriend's sister and her boyfriend to death in a Central Maine apartment building, leaving a young girl unharmed on the first floor before turning the weapon on himself. They all shared the brown clapboard home, which was divided into two apartments. The gunman and his girlfriend lived in the upstairs room of the apartment while the two other victims (his girlfriend's sister and her boyfriend) lived in the downstairs with their 3 year old daughter. All three victims were found on first floor.",committed suicide,one,3,0,3,0,-999,-999,-999,-999,-999,Male,44.54994725,-69.70782299
178,"Jacksonville, Florida","Jacksonville, Florida",11/13/15,Home,Home,Close,Family,domestic dispute,"On Friday of November 13, 2015,The former military member walked into his Northside, Florida, home and shot his girlfriend, their twin babies, and girlfriend's father before shooting himself. The shooter had a history of domestic violence.",committed suicide,one,3,1,4,0,-999,-999,former military,-999,"Black, Black American or African American",Male,30.33216122,-81.67576993
179,"Columbus, Ohio","Columbus, Ohio",11/23/15,Home,Home,Close,neighbors,-999,"On Monday of November 23, 2015, three of four members of a family were shot and killed and a 12-year-old girl wounded at their home. The suspect died after being shot by police. The shooter was a once friendly neighbor of the victims.",killed,one,3,1,4,0,-999,-999,-999,-999,"White, White American or European American",Male,39.98861445,-82.98904135
180,Planned Parenthood clinic,"Colorado Springs, Colorado",11/27/15,Hospital/Health Clinic,health clinic,Close,random,-999,"police were called to a street to investigate an assault case. One hispanic man lay dead on the street. Two other adult males, and a young female were injured. / On Friday of November 27, 2015, the shooter opened fire inside a Planned Parenthood clinic in Colorado Springs. Three people were killed and nine others were hurt. The shooter surrendered to officers after a five-hour ordeal Friday in which he fired randomly at people in the clinic and roamed the halls shooting through walls with an assault-style rifle.",arrested,one,3,9,12,1,57,-999,-999,-999,"White, White American or European American",Male,38.881031,-104.849057
181,"Residence in Lakeland, Florida","Lakeland, Florida",01/06/16,Home,Home,Close,drug dealer,-999,Two men arrived at the house of a drug dealer and killed three people and critically injured one more.,-999,two,3,1,4,0,-999,-999,-999,-999,"Black, Black American or African American",Male,28.039465,-81.949804
182,Florida family murder,"Crestview, Florida",01/23/16,Home,-999,-999,Family,-999,"A young man shot his mother, step-father, and his ex-girlfriend's boyfriend",-999,one,3,0,3,0,-999,-999,-999,-999,"White, White American or European American",Male,30.754181,-86.572799
183,"Glendale, AZ House Party shooting","Glendale, Arizona",01/30/16,Home,Home,Close,random,anger,"Altercation broke out at a house party. A group of five hispanics were asked to leave. They got in a car, and as they drove away, opened fire on the house.",got away,group,3,5,8,0,-999,-999,-999,-999,-999,Male,33.538652,-112.185987
184,Texas teen commits family murder suicide,"Uvalde, Texas",02/06/16,Home + Neighborhood,-999,Close,Family/Neighbors,psycho,19-year-old male kills his mother and two neighbors before killing himself. Motive is unclear.,committed suicide,one,3,0,3,0,19,-999,-999,-999,"White, White American or European American",Male,29.209684,-99.786168
185,Excel Industries mass shooting,"Hesston, Kansas",02/25/16,Former Workplace,workplace,Close,random,-999,"Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order.",killed,one,3,14,17,0,38,1,manufacturing company,-999,"Black, Black American or African American",Male,38.135992,-97.425145
186,"Hesston, Kansas","Hesston, Kansas",02/25/16,Current Workplace,-999,Open,random,psycho,"On Friday, 90 minutes after receiving a court order over domestic violence, the man returned to the factory for the shooting spree.The man who wounded three people before storming into the central Kansas the lawn mower factory where he worked and shooting 14 others, killing three of them, had just been served a protection from abuse order that likely triggered the attack. Police say they believe the man fired at random while he was returning to his workplace.",-999,one,3,14,17,0,-999,1,factory,-999,"Black, Black American or African American",Male,38.1368,-97.4268
187,"Louisville, KY Family Murder-Suicide","Louisville, Kentucky",03/20/16,Home,Home,Close,Family,domestic dispute,A former soldier who fatally shot his wife and two children and set their house on fire before killing himself suffered from post-traumatic stress disorder following a military career that included a stint in Iraq.,committed suicide,one,3,0,3,0,-999,1,Military,Yes,"White, White American or European American",Male,38.252665,-85.758456
188,"Sherman, Texas Family Murder-Suicide","Sherman, Texas ",03/21/16,Home,-999,-999,Family,domestic dispute,"A man shot and killed his wife and two boys, then he turned the gun on himself.",committed suicide,one,3,0,3,0,-999,-999,-999,-999,-999,Male,33.635662,-96.60888
189,"Louisburg, North Carolina","Louisburg, North Carolina",03/26/16,Home,-999,-999,-999,terrorism,"Three people were killed in a shooting at a home. The shooter was on probation after being released from prison about two weeks ago. He was required to wear an ankle bracelet that monitored his whereabouts, but removed the device on Friday — the day before the shootings.",-999,one,3,0,3,-999,-999,-999,-999,-999,"Black, Black American or African American",Male,36.099039,-78.301106
190,Baton Rouge police shooting,"Baton Rouge, Lousiana",07/17/16,Public area,Other than workplace,Open,police,-999,"Gavin Long, a former Marine who served in Iraq, killed three police offers responding to a 911 call, and wounded three others. He was killed in a shoot-out with other officers responding to the scene. Prior to the attack, Long posted prolifically on social media, where he expressed admiration for the cop killer in Dallas 10 days prior.",killed,one,3,3,6,3,29,-999,former Marine,Yes,"Black, Black American or African American",Male,30.433601,-91.081403
